Organization,Type,Years,Allocation
Cal Japan Club,SAG,6,$369 
Cal Pre-Vet Club,SAG,4,$300 
Cal Raijin Taiko,SAG,9,$500 
Cal Running Club,SAG,3,$40 
Cal Slam,SAG,10,$255 
Cal Student Assistance for Public Health,SAG,1,$150 
Cal Undergraduate Public Health Coalition,SAG,10,"$1,448 "
California Mock Trial,SAG,14,"$5,091 "
CalSol,SAG,16,$0 
Campus League of Puzzlers,SAG,1,$150 
Capital Investments at Berkeley,SAG,1,$150 
Catholic Students at Cal - Newman Hall,SAG,2,$300 
Chabad Jewish Student Group (CJSG),SAG,5,$160 
Chinese Instrumental Society,SAG,1,$150 
Chinese People Union,SAG,10,$995 
Chinese Student Association,SAG,24,"$2,000 "
Christians United for Israel at Berkeley,SAG,1,$150 
Circle K International,SAG,19,"$2,945 "
CNMAT Users Group (CUG),SAG,1,$0 
Cognitive Science Students Association,SAG,15,$150 
College Ski and Snowboard Club,SAG,15,$0 
Committee for Korea Studies,SAG,9,$150 
Common Cause/Democracy Matters of Berkeley,SAG,2,$80 
Computer Science Undergraduate Association,SAG,39,"$1,607 "
Conscious Living Collective,SAG,1,$131 
Conservation & Resource Studies Student Organization,SAG,4,$136 
Consult Your Community (CYC),SAG,1,$150 
Cooking Club,SAG,6,$446 
Creative Applications to Life in Origami,SAG,4,$892 
Crossroads Christian Fellowship,SAG,5,$167 
Crosstalk,SAG,1,$150 
Cultural Connections of Berkeley,SAG,1,$150 
Curling Club at Berkeley,SAG,1,$150 
Danceworx,SAG,17,"$1,755 "
Danza In Xochitl In Cuicatl,SAG,1,$150 
DeCadence,SAG,14,$668 
Delta Phi Epsilon,SAG,11,$0 
Delta Sigma Pi,SAG,8,"$1,188 "
Derivatives Trading Group,SAG,1,$150 
Dil Se,SAG,5,$629 
Dwinelle Hall Breakers,SAG,1,$150 
East Asian General Member Association,SAG,1,$0 
East Asian Languages and Cultures Undergraduate Student Association,SAG,4,$0 
Education Undergraduates,SAG,7,$250 
Educational Opportunity Program Student Association,SAG,1,$150 
Eggster Organization,SAG,13,"$1,600 "
EGO,SAG,3,$450 
ElecTONIC,SAG,6,$446 
Enactus,SAG,2,$300 
Engineering Student Council,SAG,21,"$27,096 "
ENvision at Berkeley,SAG,2,$250 
Eritrean Student Association,SAG,1,$150 
eSports at Berkeley (Formerly Collegiate StarLeague at Berkeley),SAG,2,$185 
Ethiopian Student Union,SAG,18,"$1,000 "
Fashion and Student Trends,SAG,2,"$1,800 "
Fei Tian Dancers,SAG,10,$334 
Fellowship in Christ Berkeley,SAG,8,$268 
Foresight Pre-Optometry Club,SAG,22,$857 
Formula SAE,SAG,1,$0 
Freshman Sophomore Business Club,SAG,12,$400 
Future Business Leaders of America - Phi Beta Lambda,SAG,9,"$1,400 "
Global China Connection Berkeley,SAG,2,$275 
Haas Business School Association,SAG,2,$246 
Healing Arts Collective,SAG,1,$150 
Hindu Students Council,SAG,6,"$1,141 "
Hong Kong Student Association,SAG,21,$440 
Human Rights of the Incarcerated Coalition @ Cal,SAG,1,$150 
Indian Students Association,SAG,10,"$2,588 "
Indus,SAG,25,"$7,000 "
International Association of Business Communicators,SAG,8,$0 
International Justice Mission,SAG,3,$122 
International Socialist Organization,SAG,1,$98 
International Student Fellowship,SAG,2,$0 
International Students' Advisory Committee,SAG,1,$150 
International Students Association at Berkeley (ISAB),SAG,13,$528 
International Youth and Students for Social Equality,SAG,1,$150 
InterVarsity Christian Fellowship,SAG,15,"$3,800 "
Investment Banking Club,SAG,1,$150 
Iranian Student Alliance In America- ISAA,SAG,10,$261 
Iranian Students' Cultural Organization (ISCO),SAG,17,"$2,065 "
Islamic Awareness,SAG,3,$450 
Italian International Students Association (IISA),SAG,13,"$1,124 "
IU-Mien Student Union,SAG,7,$506 
J Street U at Berkeley,SAG,1,$150 
Jewish Student Union,SAG,35,"$13,260 "
Kairos Christian Fellowship,SAG,6,$334 
Kairos Society,SAG,2,$300 
Kappa Gamma Delta,SAG,11,"$1,100 "
Klesis,SAG,2,$300 
Koinonia Campus Fellowship,SAG,9,$696 
Korea Campus Crusade for Christ,SAG,3,$0 
Korean American Students Association (KASA),SAG,32,"$4,642 "
Korean Chamber Ensemble,SAG,3,$250 
Korean Student Organizations (KSO),SAG,1,$274 
Korean Undergraduate Networking Association (KUNA),SAG,6,$881 
Korean-American Engineers and Scientists Association,SAG,2,$0 
K-Popular,SAG,3,$0 
Latino Pre-Law Society,SAG,11,"$1,200 "
Lebanese Student Association at Berkeley,SAG,1,$150 
Lindy on Sproul,SAG,3,$450 
LiNK at Cal,SAG,9,$697 
Logos,SAG,1,$150 
Malaria No More,SAG,1,$150 
Mango Raasi,SAG,2,$180 
Mariachi Luz de Oro,SAG,2,$300 
Market-Inc.,SAG,1,$150 
MCBcDNA,SAG,2,$215 
Mixed Student Union,SAG,17,$982 
Movement,SAG,13,"$3,100 "
Multi-Ethnic Student House,SAG,1,$150 
Music Connection,SAG,5,$0 
Muslim Student Association,SAG,27,"$9,562 "
Nerdfighters of Berkeley,SAG,1,$140 
Net Impact Berkeley,SAG,12,$0 
Nigerian Student Asocciation,SAG,1,$150 
Nikkei Student Union,SAG,12,"$2,312 "
Oakland Community Builders,SAG,1,$150 
Olive Tree Initiative,SAG,3,$625 
Omicron Delta Epsilon,SAG,7,$50 
Open University,SAG,1,$150 
Oratory at Berkeley,SAG,2,$210 
Organization of African Students at Berkeley,SAG,1,$150 
"out in Science, Technology, Engineering, and Mathematics (oSTEM)",SAG,3,$450 
Pakistani Student Association,SAG,10,"$2,145 "
Partnership for Pre-Professional Pilipinos,SAG,13,$889 
PartySafe@Cal,SAG,1,$150 
Personal Finance Club,SAG,1,$150 
Phi Alpha Delta Pre-Law Fraternity,SAG,5,$300 
Phi Alpha Theta,SAG,9,$647 
Phi Chi,SAG,3,$250 
Phi Gamma Nu Business Fraternity,SAG,3,$31 
Phi Sigma Pi National Honors Fraternity,SAG,12,$617 
Pi Sigma Epsilon (PSE),SAG,1,$150 
Pilipino American Alliance (PAA),SAG,23,"$6,815 "
Pilipino Association for Health Careers,SAG,21,"$3,598 "
"Pilipino Association of Scientists, Architects, and Engineers (PASAE)",SAG,25,$0 
Pokemon Club at Cal,SAG,1,$65 
Pre-Dental Society,SAG,31,$86 
Pre-Health Society (formerly known as Asian American Health Society),SAG,7,$749 
Pre-Med Asian Pacific American Medical Student Association (APAMSA),SAG,1,$150 
Pre-Nursing Society,SAG,3,$50 
Pre-Pharmacy Informational Learning and Leadership Society,SAG,13,"$1,969 "
ProActive Wellness (PAW),SAG,1,$150 
Quidditch League at Berkeley,SAG,1,$150 
Quiz Bowl,SAG,18,$0 
Ra-On,SAG,3,$550 
React To Film,SAG,2,$300 
Rubik's Cube Club at Berkeley,SAG,2,$200 
Russian Club (RSA),SAG,10,$400 
SACNAS at Berkeley: Undergraduate Chapter,SAG,1,$150 
Salsa Dance,SAG,3,$280 
Sigma Alpha Nu,SAG,6,$0 
Sigma Eta Pi,SAG,2,$120 
Sikh Student Association,SAG,8,$714 
Singapore Malaysia Student Association,SAG,6,$380 
Social Media Club at Berkeley,SAG,1,$150 
Society of Asian Scientists and Engineers (SASE),SAG,2,$150 
Society of Women in Science,SAG,1,$150 
Sociological Research Symposium Committee,SAG,1,$150 
Speech and Debate at Berkeley,SAG,4,"$1,820 "
Strait Talk,SAG,6,"$1,696 "
Student Commuters at Cal,SAG,6,$171 
Student Human Resource Association,SAG,2,$72 
Student Society for Stem Cell Research,SAG,1,$150 
Students for Hip-hop,SAG,13,"$3,329 "
Students for Integrative Medicine,SAG,4,$167 
Students for Justice in Palestine,SAG,8,$482 
Students for Liberty,SAG,5,$374 
Students for Sensible Drug Policy,SAG,1,$150 
Surfing Club at Berkeley,SAG,2,$300 
Synesthesia Association at Berkeley,SAG,1,$140 
Taiwanese American Student Association (TASA),SAG,17,"$2,132 "
Taiwanese Student Association (TSA),SAG,17,"$1,616 "
TBD Comedy,SAG,2,$250 
Tennis at Cal,SAG,8,$0 
Theatre Rice,SAG,14,"$3,007 "
THINK at Berkeley,SAG,1,$150 
Thrive Dance Company,SAG,2,$300 
Toxicology Student Association,SAG,3,$205 
Tzu Chi Compassion Relief Organization,SAG,6,$328 
U.S.E.U. Union Salvadorena de Estudiantes Universitarios,SAG,1,$150 
UC Berkeley Jazz Ensembles,SAG,27,$530 
UC Berkeley Men's Ice Hockey,SAG,2,$300 
UC Berkeley Model United Nations,SAG,21,"$6,747 "
UC Berkeley Steel Bridge Team,SAG,1,$200 
Undergraduate Finance Association | Undergraduate Management Consulting Group,SAG,6,$0 
Undergraduate Marketing Association,SAG,17,$600 
Understanding Physics,SAG,1,$150 
University of California Rally Committee,SAG,113,"$36,200 "
Voyager Consulting,SAG,2,$300 
Women's Club Lacrosse,SAG,1,$150 
Accountability and Transparency at Berkeley,SISG,1,$250 
"Alpha Phi Alpha Fraternity, Inc.",SISG,11,"$1,935 "
Alternative Breaks,SISG,11,"$1,202 "
American Red Cross at Cal,SISG,9,"$2,512 "
Amnesty International,SISG,33,$987 
Asian American Pacific Islander Health Research Group,SISG,1,$250 
Autism Speaks U at Berkeley,SISG,3,$450 
BareAbundance,SISG,2,$300 
Bay Area Environmentally Aware Consulting Network (BEACN),SISG,6,$0 
BearEMS,SISG,1,$250 
Bears For Elder Welfare,SISG,2,$195 
Berkeley Cambodian Student Association,SISG,15,$0 
Berkeley City College Service Community,SISG,2,$280 
Berkeley Engineers and Mentors (BEAM),SISG,5,$250 
Berkeley Project,SISG,7,"$1,607 "
Berkeley Volunteer Income Tax Assistance,SISG,1,$250 
Best Buddies,SISG,7,$400 
Black Recruitment and Retention Center,SISG,31,"$43,165 "
"Blueprint, Technologies for Non-Profits",SISG,2,$500 
bridges Multicultural Resource Center,SISG,17,"$15,000 "
Cal Camp,SISG,65,"$14,823 "
Cal Community Music,SISG,29,$250 
Cal Corps Public Service Center: Student Service Leaders Training and Group Sponsorship Program,SISG,45,"$35,879 "
Cal Facilitation Team,SISG,2,$500 
Cal in Local Government,SISG,6,"$1,754 "
Cal Q&A,SISG,5,"$1,845 "
Cal Scholars Chapter,SISG,1,$200 
Cal Veterans Group,SISG,5,"$2,574 "
CALPIRG,SISG,10,$150 
"Camp Kesem, Berkeley",SISG,1,$250 
Camp WOW (Week of Wilderness),SISG,4,$250 
Chicano/a Latino/a Architectural Student Association,SISG,1,$150 
Chicanos/Latinos in Health Education,SISG,24,"$2,238 "
Conflict Free Campus Initiative at Berkeley,SISG,1,$0 
Creative Residencies for Emerging Artists Teaching Empowerment (CREATE),SISG,1,$383 
CS KickStart,SISG,2,$0 
Democratic Education at Cal (DeCal),SISG,31,"$5,000 "
Disabled Students' Union,SISG,9,"$1,734 "
Drawn to Scale,SISG,3,$230 
DULCE (Diabetes Unidos Lograremos Controlar Esta Enfermedad),SISG,6,$485 
Embrace - the Berkeley Chapter,SISG,2,$120 
Empathy FX International,SISG,1,$850 
Engineering World Health,SISG,1,$0 
EthiCAL Apparel,SISG,4.5,$250 
Expanding Your Horizons at Berkeley,SISG,2,$0 
Feeding Forward,SISG,2,$500 
FeelGood Berkeley,SISG,6,$658 
FIMRC,SISG,1,$0 
Gamma Zeta Alpha,SISG,6,"$1,096 "
Gates Millennium Scholars Association,SISG,7,$860 
Get On The Bus DeCal,SISG,1,$250 
GIANT Filmmakers,SISG,9,"$1,461 "
Global Medical Brigades,SISG,5,$267 
Grant A Wish at Berkeley,SISG,1,$200 
Habitat for Humanity,SISG,13,"$1,974 "
Health and Meidcal Apprenticeship Program,SISG,29,"$13,158 "
Hermanas Unidas,SISG,8,$831 
Hermanos Unidos,SISG,8,$0 
Hmong Student Association at Berkeley,SISG,6,"$1,127 "
Inside the Living Room,SISG,4,$250 
"La Unidad Latina, Lambda Upsilon Lambda Fraternity, Inc",SISG,2,$0 
Labor Coach Program,SISG,3,$750 
Lambda Theta Alpha,SISG,7,"$1,117 "
"Lambda Theta Nu Sorority, Incorporated",SISG,4,$250 
"Lambda Theta Phi, Latin Fraternity Inc.",SISG,7,"$1,224 "
Laotian American Student Representative,SISG,15,$514 
Laundry Love Project,SISG,2,$500 
Magnolia Project,SISG,7,$905 
MEDLIFE,SISG,3,$170 
MEND,SISG,2,$150 
Microfinance at Berkeley,SISG,2,$190 
Movimiento Estudiantil Chicano/Xcana de Aztlan,SISG,3,$450 
National Council of Negro Women,SISG,7,"$3,204 "
Native American Recruitment and Retention Center,SISG,21,"$11,090 "
Oakland Asian Student Educational Services (OASES),SISG,11,$921 
Omega Phi Beta Sorority Inc. Beta Mu Chapter,SISG,3,$750 
Open Computing Facility,SISG,24,"$21,692 "
Pacific Islanders at Cal,SISG,6,"$1,017 "
PATHS Mentoring Program,SISG,2,$150 
Patient Advocacy Student Group,SISG,1,$250 
Paws and Claws of Berkeley,SISG,2,$0 
People Eliminating Resource Scarcity in Support of Teachers (PERSIST),SISG,1,$250 
People's Test Preparation Services,SISG,17,"$4,649 "
Phi Delta Epsilon,SISG,6,"$1,041 "
Pilipino Academic Student Services (PASS),SISG,29,"$23,793 "
Project Nutrition,SISG,1,$250 
Project RISHI,SISG,6,$633 
Project SMILE (Spreading Multiculturalism and Inspiring Leadership through Education),SISG,5,"$2,356 "
Project Vision,SISG,7,$428 
Prytanean Women's Honor Society,SISG,2,$70 
Queer Alliance and Resource Center,SISG,46,"$13,243 "
Queer Straight Alliance,SISG,6,$386 
Raza Recruitment and Retention Center,SISG,36,"$43,721 "
REACH! Asian/Pacific Islander Recruitment and Retention Center,SISG,18,"$15,959 "
Re-entry Transfer Student Association,SISG,16,"$1,143 "
Renters' Legal Assistance,SISG,31,"$4,000 "
Rising Immigrant Scholars through Education,SISG,5,$653 
Rotaract Club,SISG,9,"$1,856 "
Sage Mentorship Project,SISG,1,$150 
Seed of Health,SISG,2,$0 
Service Network at Berkeley,SISG,2,"$1,528 "
"Sigma Gamma Rho Sorority, Incorporated",SISG,1,$250 
"Sigma Pi Alpha Sorority, Inc. - Alpha Chapter",SISG,5,$714 
Southeast Asian Mentorship (SEAM),SISG,7,"$1,455 "
Southeast Asian Prison Outreach Project (SEAPOP),SISG,3,$285 
Southeast Asian Student Coalition,SISG,13,"$4,923 "
Spring Foundation,SISG,2,$500 
Stop the Traffick,SISG,5,$466 
Student National Medical Association-Minority Association of Premed Students (SNMA-MAPS),SISG,2,$95 
Student Parent Association for Recruitment and Retention,SISG,14,"$3,417 "
Student-to-Student Peer Couseling,SISG,23,"$1,700 "
Suitcase Clinic,SISG,15,"$2,396 "
Supporting Peers in Laidback Listening (SPILL),SISG,4,$450 
Take Back the Night,SISG,11,$306 
Teach In Prison,SISG,4,$400 
Team HBV,SISG,7,$754 
Theater for Charity,SISG,9,"$1,598 "
TRENZA,SISG,15,"$1,600 "
UNICEF at Cal,SISG,11,$803 
Universal Love and Peace (ULAP),SISG,3,$750 
Vietnamese Student Association,SISG,22,"$5,118 "
Volunteer Health Interpreters Organization,SISG,8,$816 
Volunteers Around the World- UC Berkeley,SISG,3,$750 
Volunteers For Medical Outreach,SISG,6,$703 
WonderWorks,SISG,3,$247 
World Literacy Project,SISG,2,$200 
Xinaxtli,SISG,42,"$2,812 "
You Mean More,SISG,3,$600 
Young Queers United for Empowerment,SISG,6,$900 
Youth Empowerment Program,SISG,2,$500 
Youth Support Program,SISG,18,$400 
Academic Affairs Vice President,GOVT,,"$10,000 "
Attorney General,GOVT,,"$1,000 "
Elections Council,GOVT,,"$30,000 "
Executive Vice President,GOVT,,"$10,000 "
External Affairs Vice President,GOVT,,"$10,000 "
Finance Officer,GOVT,,"$1,500 "
Judicial Council,GOVT,,$730 
President,GOVT,,"$10,000 "
Secretariat,GOVT,,"$64,000 "
Senate Only,GOVT,,"$7,000 "
Student Advocate,GOVT,,"$10,000 "
Webmaster,GOVT,,"$1,000 "
Allocation to the Graduate Assembly,GRAD,,"$410,660 "
ASUC Archives,OPS,,"$4,000 "
Attorney's Fees,OPS,,"$60,000 "
Audit,OPS,,"$15,000 "
CNS Internet Operations Fee,OPS,,"$13,257 "
Publication Center,OPS,,"$4,500 "
UC Student Association,OPS,,"$32,027 "
Academic Opportunity Fund,PRO,,"$10,000 "
ASUC Fund for Intellectual Community,PRO,,"$5,000 "
ASUC Lobby Corps,PRO,,"$17,000 "
ASUC Student Legal Clinic,PRO,,"$3,596 "
ASUC SUPERB,PRO,,"$127,500 "
ASUC Sustainability Team,PRO,,"$1,530 "
ASUC Textbook Scholarship,PRO,,"$2,000 "
Cal Day Concert,PRO,,"$10,000 "
CAL Housing Commission,PRO,,"$2,500 "
Dance Marathon,PRO,,"$4,700 "
Disability Accomodation Fund,PRO,,"$8,000 "
Educational Enhancement Fund,PRO,,"$3,000 "
Executive Officer Leadership Institute,PRO,,"$3,500 "
Greek Opportunity Fund,PRO,,"$10,000 "
Innovative Entertainment,PRO,,"$1,000 "
Innovative Design,PRO,,"$4,000 "
Multicultural Fund,PRO,,"$5,000 "
Outstanding Student Recognition Program,PRO,,"$1,250 "
Perspectives,PRO,,"$1,900 "
Public Service Fund,PRO,,"$5,000 "
Spring Welcome Week,PRO,,"$2,727 "
Student Initiative Fund/Bears Breaking Boundaries,PRO,,"$15,000 "
Undergraduate Graduate Mentorship Program,PRO,,"$1,705 "
Voter Registration,PRO,,"$1,500 "
Senate Contingency,FUND,,"$40,000 "
Space Reversation Fund,FUND,,"$33,333 "
Legal Defense Fund,FUND,,"$16,500 "
