artistName,endTime,source,trackName,valence,duration_ms
Aitana,2019-02-08 23:58,0,TELÉFONO,0.667,163787.0
Samsa,2019-02-09 00:01,0,Butterflies,0.925,199184.0
Jeremih,2019-02-09 00:05,0,oui,0.604,238320.0
Bad Bunny,2019-02-09 00:09,0,Estamos Bien,0.439,208080.0
Mac Miller,2019-02-09 00:12,0,Weekend (feat. Miguel),0.19,208080.0
Los Socios Del Ritmo,2019-02-09 00:16,0,Llorar,0.962,223160.0
Zedd,2019-02-09 00:17,0,Lost At Sea,0.305,225840.0
Bill Withers,2019-02-09 05:26,0,Ain't No Sunshine,0.443,186629.0
Trippie Redd,2019-02-09 05:26,0,Taking A Walk,0.343,121680.0
21 Savage,2019-02-09 05:27,0,a lot,0.274,288624.0
Flipp Dinero,2019-02-09 05:27,0,Leave Me Alone,0.742,195637.0
Los Cenzontles,2019-02-09 05:27,0,Asi Es Tecolotlan,0.834,219053.0
Michael Jackson,2019-02-09 05:27,0,P.Y.T. (Pretty Young Thing),0.961,238733.0
Juan Gabriel,2019-02-09 05:28,0,No Tengo Dinero,0.927,186373.0
Banda El Recodo,2019-02-09 05:28,0,Y Llegaste Tú,0.976,196893.0
Flipp Dinero,2019-02-09 05:29,0,Leave Me Alone,0.742,195637.0
Rag'n'Bone Man,2019-02-09 05:29,0,Skin,,
Mac Miller,2019-02-09 05:29,0,Self Care,0.177,345133.0
Bronco,2019-02-09 05:29,0,Sergio el Bailador,0.984,169600.0
Vicente Fernández,2019-02-09 05:29,0,No Me Se Rajar,0.896,144973.0
Oliver Tree,2019-02-09 05:29,0,Alien Boy,0.484,163525.0
Maverick Sabre,2019-02-09 05:29,0,Her Grace,0.438,211295.0
Bad Bunny,2019-02-09 05:30,0,Solo de Mi,0.15,197968.0
Michael Jackson,2019-02-09 07:35,0,P.Y.T. (Pretty Young Thing),0.961,238733.0
Saba,2019-02-09 19:24,0,Westside Bound 3,0.588,177246.0
Thundercat,2019-02-09 19:24,0,Where the Giants Roam / Field of the Nephilim,0.1,166990.0
Rainbow Kitten Surprise,2019-02-09 19:26,0,It's Called: Freefall,0.281,152293.0
Flight Facilities,2019-02-09 19:30,0,Crave You,0.317,234787.0
Rex Orange County,2019-02-09 19:35,0,Sunflower,0.567,252231.0
Mac Miller,2019-02-09 19:38,0,My Favorite Part,0.718,216000.0
Limbo,2019-02-09 19:41,0,Airplane Mode,0.07,164113.0
Bad Bunny,2019-02-09 19:46,0,NI BIEN NI MAL,0.337,236216.0
Mac Miller,2019-02-09 19:52,0,Self Care,0.177,345133.0
Mac Miller,2019-02-09 19:56,0,Planet God Damn (feat. Njomza),0.431,191747.0
John Newman,2019-02-09 20:00,0,Love Me Again,0.213,239894.0
DJ Shadow,2019-02-09 20:03,0,Nobody Speak,0.304,195966.0
Limbo,2019-02-09 20:41,0,Airplane Mode,0.07,164113.0
JID,2019-02-09 20:43,0,Off Deez (with J. Cole),0.431,213358.0
Rainbow Kitten Surprise,2019-02-09 20:43,0,It's Called: Freefall,0.281,152293.0
Saba,2019-02-09 20:43,0,Westside Bound 3,0.588,177246.0
Gabrielle Aplin,2019-02-09 20:43,0,Please Don't Say You Love Me,0.321,181400.0
Lauren Aquilina,2019-02-09 20:43,0,King,0.236,238000.0
Jai Wolf,2019-02-09 20:43,0,Lose My Mind (feat. Mr Gabriel),0.508,258547.0
Los Cenzontles,2019-02-09 20:43,0,Asi Es Tecolotlan,0.834,219053.0
McCafferty,2019-02-09 20:43,0,Beachboy,0.75,199341.0
Rex Orange County,2019-02-09 20:43,0,Sunflower,0.567,252231.0
Billy Raffoul,2019-02-09 20:46,0,I'm Not A Saint,,
JPEGMAFIA,2019-02-09 20:48,0,Thug Tears,0.779,198310.0
The Delfonics,2019-02-09 20:48,0,La-La Means I Love You,0.623,200907.0
Fat Joe,2019-02-09 20:48,0,What's Luv? (feat. Ja-Rule & Ashanti),0.919,267093.0
Mac Miller,2019-02-09 20:48,0,What's the Use?,0.561,288640.0
JID,2019-02-09 20:52,0,Off Deez (with J. Cole),0.431,213358.0
Bas,2019-02-09 20:56,0,Tribe (with J. Cole),0.237,238053.0
Valee,2019-02-09 21:00,0,Womp Womp,0.493,226533.0
Smino,2019-02-09 21:51,0,PIZANO,0.529,195371.0
Valee,2019-02-09 21:54,0,Womp Womp,0.493,226533.0
Jessie Reyez,2019-02-09 21:57,0,FIGURES,0.256,240907.0
Pedro Fernández,2019-02-09 22:00,0,Yo No Fui,0.903,292400.0
Jennifer Lopez,2019-02-09 22:00,0,Te Guste,0.222,222787.0
Valee,2019-02-09 22:04,0,Womp Womp,0.493,226533.0
21 Savage,2019-02-09 22:09,0,a lot,0.274,288624.0
Limbo,2019-02-09 22:12,0,Airplane Mode,0.07,164113.0
McCafferty,2019-02-09 22:15,0,Beachboy,0.75,199341.0
Kyle Dion,2019-02-09 22:19,0,Cool Side Of The Pillow,0.369,223782.0
Maná,2019-02-09 22:19,0,Oye Mi Amor,0.962,263306.0
Mac Miller,2019-02-09 22:19,0,Self Care,0.177,345133.0
LCD Soundsystem,2019-02-09 22:19,0,"New York, I Love You but You're Bringing Me Down",0.0909,335480.0
KYLE,2019-02-09 22:21,0,When Can We,0.691,185151.0
La Sonora Dinamita,2019-02-09 22:21,0,Mi Cucu,0.917,234707.0
Rae Sremmurd,2019-02-09 22:25,0,This Could Be Us,0.758,206307.0
Zedd,2019-02-09 22:29,0,Spectrum,0.407,243413.0
Teyana Taylor,2019-02-09 22:34,0,"Gonna Love Me (feat. Ghostface Killah, Method Man & Raekwon) - Remix",0.49,289147.0
Big Sean,2019-02-09 22:37,0,Who's Stopping Me (& Metro Boomin),0.763,213600.0
Lloyd,2019-02-09 22:41,0,Get It Shawty - Main,0.674,209533.0
Flipp Dinero,2019-02-09 22:44,0,Leave Me Alone,0.742,195637.0
Spencer Sutherland,2019-02-09 22:47,0,Tell Me,0.554,198736.0
Mahalia,2019-02-09 22:51,0,I Wish I Missed My Ex,0.546,203067.0
Rae Sremmurd,2019-02-09 22:54,0,Come Get Her,0.123,212947.0
Marian Hill,2019-02-09 22:58,0,Down,0.0661,197773.0
Mac Miller,2019-02-09 23:00,0,Come Back to Earth,0.119,161840.0
Ms. Lauryn Hill,2019-02-09 23:02,0,Doo Wop (That Thing) - Edit,0.635,240667.0
Racoon Racoon,2019-02-09 23:05,0,Walls,0.343,179531.0
Limbo,2019-02-10 04:25,0,Airplane Mode,0.07,164113.0
Bad Bunny,2019-02-10 04:25,0,NI BIEN NI MAL,0.337,236216.0
Los Cenzontles,2019-02-10 04:25,0,Asi Es Tecolotlan,0.834,219053.0
Limbo,2019-02-10 04:37,0,Airplane Mode,0.07,164113.0
Carlos Baute,2019-02-10 04:41,0,Colgando en tus manos (con Marta Sánchez),0.875,230280.0
Mac Miller,2019-02-10 04:46,0,Ladders,0.291,287040.0
Amanda Miguel,2019-02-10 04:49,0,El Me Mintio,0.478,219585.0
Big Pun,2019-02-10 04:53,0,Still Not a Player (feat. Joe) - Radio Version,0.864,236800.0
Mac Miller,2019-02-10 04:56,0,Planet God Damn (feat. Njomza),0.431,191747.0
Meek Mill,2019-02-10 05:00,0,Going Bad (feat. Drake),0.544,180522.0
Fabolous,2019-02-10 05:04,0,Into You (feat. Tamia),0.58,295773.0
Mac Miller,2019-02-10 05:08,0,My Favorite Part,0.718,216000.0
Marian Hill,2019-02-10 05:11,0,Got It,0.509,191947.0
Los Tigres Del Norte,2019-02-10 05:15,0,Contrabando Y Traición,0.88,206293.0
Chizzy Stephens,2019-02-10 05:18,0,Catching Villains,0.349,182367.0
Bobby Caldwell,2019-02-10 05:23,0,What You Won't Do for Love,0.798,286493.0
Juanes,2019-02-10 05:27,0,Fotografía,0.637,238133.0
flora cash,2019-02-10 05:30,0,You're Somebody Else,,
Bronco,2019-02-10 05:33,0,Sergio el Bailador,0.984,169600.0
